OrderID,Date,PaymentMethod,SaleAmount,Country
1001,2024-01-01,Credit Card,173.9810270091822,Egypt
1007,2024-07-07,Online,172.3921615474309,Egypt
1067,2024-07-05,Online,174.09607797901342,Egypt
1073,2024-01-11,Credit Card,173.4917522570263,Egypt
1079,2024-07-17,Online,173.36989246777506,Egypt
1085,2024-01-23,Credit Card,173.1893466114148,Egypt
1091,2024-07-29,Online,173.02892705016734,Egypt
1097,2024-01-05,Credit Card,174.0296149763437,Egypt
1103,2024-07-11,Online,174.6685258455922,Egypt
1109,2024-01-17,Credit Card,174.1974221201522,Egypt
1115,2024-07-23,Online,174.0235224869137,Egypt
1121,2024-01-29,Credit Card,174.242456484265,Egypt
1127,2024-07-05,Online,174.6533571053624,Egypt
1133,2024-01-11,Credit Card,174.52329540802057,Egypt
1139,2024-07-17,Online,174.5321192415051,Egypt
1145,2024-01-23,Credit Card,174.08764089562524,Egypt
1151,2024-07-29,Online,174.3766352301236,Egypt
1157,2024-01-05,Credit Card,174.37960551026873,Egypt
1163,2024-07-11,Online,173.86595590579293,Egypt
1169,2024-01-17,Credit Card,174.76011616830584,Egypt
1175,2024-07-23,Online,174.3893895229653,Egypt
1181,2024-01-29,Credit Card,174.53507104763315,Egypt
1187,2024-07-05,Online,173.4533025594091,Egypt
1193,2024-01-11,Credit Card,173.7169305357773,Egypt
1199,2024-07-17,Online,173.9012246256426,Egypt
1205,2024-01-23,Credit Card,174.35418011070024,Egypt
1211,2024-07-29,Online,173.79787320155532,Egypt
1217,2024-01-05,Credit Card,174.5497340704787,Egypt
1223,2024-07-11,Online,174.2724338669363,Egypt
1229,2024-01-17,Credit Card,174.18600709508073,Egypt
1235,2024-07-23,Online,174.08976940995908,Egypt
1241,2024-01-29,Credit Card,173.55345570138658,Egypt
1247,2024-07-05,Online,173.8354844422292,Egypt
1253,2024-01-11,Credit Card,174.25965245675408,Egypt
1259,2024-07-17,Online,173.97540841870796,Egypt
1265,2024-01-23,Credit Card,174.1184201629456,Egypt
1271,2024-07-29,Online,173.7552006657316,Egypt
1277,2024-01-05,Credit Card,173.71734259005942,Egypt
1283,2024-07-11,Online,175.01235898917236,Egypt
1289,2024-01-17,Credit Card,173.82979677557458,Egypt
1295,2024-07-23,Online,174.5113858489106,Egypt
1301,2024-01-29,Credit Card,174.92329756302092,Egypt
1307,2024-07-05,Online,174.0682594163985,Egypt
1313,2024-01-11,Credit Card,173.78017620813333,Egypt
1319,2024-07-17,Online,173.88401066372427,Egypt
1325,2024-01-23,Credit Card,173.1601284109338,Egypt
1331,2024-07-29,Online,173.92834978829018,Egypt
1337,2024-01-05,Credit Card,175.31053036647643,Egypt
1343,2024-07-11,Online,174.15420093405902,Egypt
1349,2024-01-17,Credit Card,174.4818741243927,Egypt
1355,2024-07-23,Online,173.8945060477469,Egypt
1361,2024-01-29,Credit Card,174.03811401669284,Egypt
1367,2024-07-05,Online,174.85344482405742,Egypt
1373,2024-01-11,Credit Card,173.11445053902108,Egypt
1379,2024-07-17,Online,173.8857693455218,Egypt
1385,2024-01-23,Credit Card,174.32064883685968,Egypt
1391,2024-07-29,Online,173.98863171777415,Egypt
1397,2024-01-05,Credit Card,174.64801828437888,Egypt
1403,2024-07-11,Online,173.7748900417552,Egypt
1409,2024-01-17,Credit Card,173.83861076317928,Egypt
1415,2024-07-23,Online,173.5503494666758,Egypt
1421,2024-01-29,Credit Card,174.69165359306973,Egypt
1427,2024-07-05,Online,174.84317541181613,Egypt
1433,2024-01-11,Credit Card,174.63206508506514,Egypt
1439,2024-07-17,Online,174.5889371789608,Egypt
1445,2024-01-23,Credit Card,173.95800182341233,Egypt
1451,2024-07-29,Online,173.46843575064253,Egypt
1457,2024-01-05,Credit Card,173.73034736689706,Egypt
1463,2024-07-11,Online,174.13006937131607,Egypt
1469,2024-01-17,Credit Card,173.92558000614775,Egypt
1475,2024-07-23,Online,174.35379660183236,Egypt
1481,2024-01-29,Credit Card,173.72581775657494,Egypt
1487,2024-07-05,Online,174.8975345819782,Egypt
1493,2024-01-11,Credit Card,175.2245851491823,Egypt
1499,2024-07-17,Online,174.36550441660955,Egypt
1505,2024-01-23,Credit Card,174.17857954817634,Egypt
1511,2024-07-29,Online,173.84768342124815,Egypt
1517,2024-01-05,Credit Card,175.44828387349716,Egypt
1523,2024-07-11,Online,173.69121116579348,Egypt
1529,2024-01-17,Credit Card,174.13980124447974,Egypt
1535,2024-07-23,Online,174.2003339369531,Egypt
1541,2024-01-29,Credit Card,174.69812668913585,Egypt
1547,2024-07-05,Online,174.05239025456424,Egypt
